id,timestamp,city,aqi,pm25,pm10,o3,no2,co,so2,temperature,humidity,pressure,wind,hour,day,month,aqi_change_rate,created_at
2546,2026-02-23 19:00:00+00,karachi,105.3,37.26,62.81,110.37,0.09,186,0.78,0,0,0,0,19,0,2,0,2026-05-24 18:33:11.041556+00
2547,2026-02-23 20:00:00+00,karachi,105.2,37.21,63.59,110.13,0.09,185.44,0.76,0,0,0,0,20,0,2,-0.1,2026-05-24 18:33:11.041556+00
2548,2026-02-23 21:00:00+00,karachi,105.2,37.22,64.68,109.67,0.08,185.05,0.74,0,0,0,0,21,0,2,0,2026-05-24 18:33:11.041556+00
2549,2026-02-23 22:00:00+00,karachi,105.3,37.25,66.4,108.92,0.08,184.43,0.72,0,0,0,0,22,0,2,0.1,2026-05-24 18:33:11.041556+00
2550,2026-02-23 23:00:00+00,karachi,105.1,37.18,68.82,108.2,0.08,183.5,0.7,0,0,0,0,23,0,2,-0.2,2026-05-24 18:33:11.041556+00
2551,2026-02-24 00:00:00+00,karachi,104.8,37.04,71.58,107.11,0.07,182.21,0.68,0,0,0,0,0,1,2,-0.3,2026-05-24 18:33:11.041556+00
2552,2026-02-24 01:00:00+00,karachi,104.3,36.83,74.71,105.9,0.07,180.49,0.65,0,0,0,0,1,1,2,-0.5,2026-05-24 18:33:11.041556+00
2553,2026-02-24 02:00:00+00,karachi,103.6,36.55,77.94,104.95,0.07,178.7,0.62,0,0,0,0,2,1,2,-0.7,2026-05-24 18:33:11.041556+00
2554,2026-02-24 03:00:00+00,karachi,102.6,36.16,81.03,104.12,0.08,176.9,0.59,0,0,0,0,3,1,2,-1,2026-05-24 18:33:11.041556+00
2555,2026-02-24 04:00:00+00,karachi,101.3,35.64,83.93,103.09,0.08,174.47,0.55,0,0,0,0,4,1,2,-1.3,2026-05-24 18:33:11.041556+00
2556,2026-02-24 05:00:00+00,karachi,99.6,35.22,86.29,101.89,0.07,172.56,0.51,0,0,0,0,5,1,2,-1.7,2026-05-24 18:33:11.041556+00
2557,2026-02-24 06:00:00+00,karachi,98.8,34.85,87.84,100.14,0.05,170.58,0.47,0,0,0,0,6,1,2,-0.8,2026-05-24 18:33:11.041556+00
2558,2026-02-24 07:00:00+00,karachi,97.9,34.41,88.49,97.76,0.05,168.57,0.42,0,0,0,0,7,1,2,-0.9,2026-05-24 18:33:11.041556+00
2559,2026-02-24 08:00:00+00,karachi,97.2,34.07,89.01,95.28,0.05,166.46,0.38,0,0,0,0,8,1,2,-0.7,2026-05-24 18:33:11.041556+00
2560,2026-02-24 09:00:00+00,karachi,96.6,33.8,89.63,93.34,0.05,165.13,0.34,0,0,0,0,9,1,2,-0.6,2026-05-24 18:33:11.041556+00
2561,2026-02-24 10:00:00+00,karachi,96.3,33.62,90.43,92.11,0.06,163.59,0.31,0,0,0,0,10,1,2,-0.3,2026-05-24 18:33:11.041556+00
2562,2026-02-24 11:00:00+00,karachi,95.7,33.35,90.97,90.75,0.06,161.71,0.29,0,0,0,0,11,1,2,-0.6,2026-05-24 18:33:11.041556+00
2563,2026-02-24 12:00:00+00,karachi,95.2,33.1,91.54,90.24,0.07,159.72,0.3,0,0,0,0,12,1,2,-0.5,2026-05-24 18:33:11.041556+00
2564,2026-02-24 13:00:00+00,karachi,94.8,32.94,92.04,90.74,0.09,157.98,0.37,0,0,0,0,13,1,2,-0.4,2026-05-24 18:33:11.041556+00
2565,2026-02-24 14:00:00+00,karachi,94.4,32.74,91.7,90.31,0.1,156.67,0.36,0,0,0,0,14,1,2,-0.4,2026-05-24 18:33:11.041556+00
2566,2026-02-24 15:00:00+00,karachi,94,32.53,91.39,89.76,0.09,155.77,0.33,0,0,0,0,15,1,2,-0.4,2026-05-24 18:33:11.041556+00
2567,2026-02-24 16:00:00+00,karachi,93.5,32.3,90.89,89.25,0.08,154.63,0.3,0,0,0,0,16,1,2,-0.5,2026-05-24 18:33:11.041556+00
2568,2026-02-24 17:00:00+00,karachi,93.1,32.12,90.44,88.99,0.08,153.95,0.28,0,0,0,0,17,1,2,-0.4,2026-05-24 18:33:11.041556+00
2569,2026-02-24 18:00:00+00,karachi,92.8,31.97,90.01,89.04,0.08,153.16,0.27,0,0,0,0,18,1,2,-0.3,2026-05-24 18:33:11.041556+00
2570,2026-02-24 19:00:00+00,karachi,92.5,31.83,89.7,89.12,0.08,152.35,0.27,0,0,0,0,19,1,2,-0.3,2026-05-24 18:33:11.041556+00
2571,2026-02-24 20:00:00+00,karachi,92.2,31.71,89.5,89.58,0.07,151.76,0.28,0,0,0,0,20,1,2,-0.3,2026-05-24 18:33:11.041556+00
2572,2026-02-24 21:00:00+00,karachi,92.2,31.67,89.4,90.22,0.07,150.87,0.29,0,0,0,0,21,1,2,0,2026-05-24 18:33:11.041556+00
2573,2026-02-24 22:00:00+00,karachi,92.1,31.63,89.39,91.16,0.07,150.1,0.3,0,0,0,0,22,1,2,-0.1,2026-05-24 18:33:11.041556+00
2574,2026-02-24 23:00:00+00,karachi,92.2,31.68,89.41,91.95,0.07,149.56,0.31,0,0,0,0,23,1,2,0.1,2026-05-24 18:33:11.041556+00
2575,2026-02-25 00:00:00+00,karachi,92.4,31.77,89.36,92.69,0.07,149.2,0.31,0,0,0,0,0,2,2,0.2,2026-05-24 18:33:11.041556+00
2576,2026-02-25 01:00:00+00,karachi,92.6,31.89,88.98,93.15,0.07,149.62,0.31,0,0,0,0,1,2,2,0.2,2026-05-24 18:33:11.041556+00
2577,2026-02-25 02:00:00+00,karachi,93,32.07,88.55,93.43,0.07,149.98,0.31,0,0,0,0,2,2,2,0.4,2026-05-24 18:33:11.041556+00
2578,2026-02-25 03:00:00+00,karachi,93.3,32.23,88.03,93.66,0.08,150.22,0.31,0,0,0,0,3,2,2,0.3,2026-05-24 18:33:11.041556+00
2579,2026-02-25 04:00:00+00,karachi,93.4,32.25,86.97,93.83,0.08,149.8,0.31,0,0,0,0,4,2,2,0.1,2026-05-24 18:33:11.041556+00
2580,2026-02-25 05:00:00+00,karachi,93.5,32.29,85.91,94.06,0.06,149.81,0.3,0,0,0,0,5,2,2,0.1,2026-05-24 18:33:11.041556+00
2581,2026-02-25 06:00:00+00,karachi,93.5,32.33,84.99,93.84,0.04,149.22,0.3,0,0,0,0,6,2,2,0,2026-05-24 18:33:11.041556+00
2582,2026-02-25 07:00:00+00,karachi,93.7,32.4,84.19,93.12,0.04,148.54,0.29,0,0,0,0,7,2,2,0.2,2026-05-24 18:33:11.041556+00
2583,2026-02-25 08:00:00+00,karachi,93.7,32.41,83.38,91.95,0.04,147.31,0.29,0,0,0,0,8,2,2,0,2026-05-24 18:33:11.041556+00
2584,2026-02-25 09:00:00+00,karachi,93.5,32.33,82.2,90.62,0.03,146.19,0.28,0,0,0,0,9,2,2,-0.2,2026-05-24 18:33:11.041556+00
2585,2026-02-25 10:00:00+00,karachi,93.1,32.14,80.21,90.11,0.04,145.29,0.27,0,0,0,0,10,2,2,-0.4,2026-05-24 18:33:11.041556+00
2586,2026-02-25 11:00:00+00,karachi,92.6,31.88,77.92,89.69,0.04,144.24,0.27,0,0,0,0,11,2,2,-0.5,2026-05-24 18:33:11.041556+00
2587,2026-02-25 12:00:00+00,karachi,92,31.59,75.9,89.76,0.05,143.07,0.28,0,0,0,0,12,2,2,-0.6,2026-05-24 18:33:11.041556+00
2588,2026-02-25 13:00:00+00,karachi,91.7,31.44,74.67,90.46,0.06,142.77,0.28,0,0,0,0,13,2,2,-0.3,2026-05-24 18:33:11.041556+00
2589,2026-02-25 14:00:00+00,karachi,91.5,31.34,74.1,91.23,0.08,142.56,0.3,0,0,0,0,14,2,2,-0.2,2026-05-24 18:33:11.041556+00
2590,2026-02-25 15:00:00+00,karachi,91.4,31.31,74.37,92.17,0.08,142.23,0.31,0,0,0,0,15,2,2,-0.1,2026-05-24 18:33:11.041556+00
2591,2026-02-25 16:00:00+00,karachi,90.8,31.01,73.91,93.06,0.08,141.66,0.33,0,0,0,0,16,2,2,-0.6,2026-05-24 18:33:11.041556+00
2592,2026-02-25 17:00:00+00,karachi,90.8,31.04,74.67,93.96,0.08,141.54,0.35,0,0,0,0,17,2,2,0,2026-05-24 18:33:11.041556+00
2593,2026-02-25 18:00:00+00,karachi,91.6,31.39,76.45,94.69,0.07,141.84,0.36,0,0,0,0,18,2,2,0.8,2026-05-24 18:33:11.041556+00
2594,2026-02-25 19:00:00+00,karachi,92.1,31.65,77.2,95.22,0.07,142.04,0.39,0,0,0,0,19,2,2,0.5,2026-05-24 18:33:11.041556+00
2595,2026-02-25 20:00:00+00,karachi,92.3,31.73,76.93,95.93,0.07,142.28,0.4,0,0,0,0,20,2,2,0.2,2026-05-24 18:33:11.041556+00
2596,2026-02-25 21:00:00+00,karachi,91.9,31.57,75.8,96.84,0.07,142.57,0.42,0,0,0,0,21,2,2,-0.4,2026-05-24 18:33:11.041556+00
2597,2026-02-25 22:00:00+00,karachi,91.4,31.29,74.67,97.74,0.07,142.37,0.44,0,0,0,0,22,2,2,-0.5,2026-05-24 18:33:11.041556+00
2598,2026-02-25 23:00:00+00,karachi,90.9,31.06,74.43,98.76,0.07,141.8,0.46,0,0,0,0,23,2,2,-0.5,2026-05-24 18:33:11.041556+00
