feature,importance
aqi_rolling_3,17.196480653166486
pm25,5.202205792073581
aqi_lag_1,4.3717716892789875
aqi_change_rate,2.068599990893301
aqi_lag_2,1.0187466402468008
aqi_rolling_7,0.15237016991625832
pm10,0.07878738782589599
co,0.07086386646802195
pressure,0.038225292881460274
o3,0.037526556111594146
temp,0.02969058094168266
humidity,0.02703595312894112
aqi_lag_3,0.01878417401554616
wind,0.01764383027962196
hour,0.009772419377893651
day,0.008124555674918786
no2,0.007243245182986484
month,0.005522702361076559
day_of_week,0.0055190310529024626
so2,0.005397454642380767
is_rush_hour,0.0021102484474598833
is_weekend,0.0011657204000807015
dew,0.0
cloud_cover,0.0
